entry_edge_bps,exit_edge_bps,max_holding_hours,trade_count,sharpe_ann,max_drawdown_pct,total_net_pnl_usd,total_return_pct
20.0,0.0,24,2,-0.2806610268134989,-0.371429073306208,-118.74970610401346,-0.11874970610401547
20.0,0.0,48,2,-0.2806610268134989,-0.371429073306208,-118.74970610401346,-0.11874970610401547
20.0,0.0,72,2,-0.2806610268134989,-0.371429073306208,-118.74970610401346,-0.11874970610401547
20.0,2.0,12,2,-0.2806610268134989,-0.371429073306208,-118.74970610401346,-0.11874970610401547
20.0,2.0,24,2,-0.2806610268134989,-0.371429073306208,-118.74970610401346,-0.11874970610401547
20.0,2.0,48,2,-0.2806610268134989,-0.371429073306208,-118.74970610401346,-0.11874970610401547
20.0,2.0,72,2,-0.2806610268134989,-0.371429073306208,-118.74970610401346,-0.11874970610401547
20.0,5.0,12,2,-0.5637683722100293,-0.4841070544051327,-231.7134626657094,-0.2317134626657169
20.0,5.0,24,2,-0.5637683722100293,-0.4841070544051327,-231.7134626657094,-0.2317134626657169
20.0,5.0,48,2,-0.5637683722100293,-0.4841070544051327,-231.7134626657094,-0.2317134626657169
20.0,5.0,72,2,-0.5637683722100293,-0.4841070544051327,-231.7134626657094,-0.2317134626657169
25.0,0.0,12,0,,0.0,0.0,0.0
25.0,0.0,24,0,,0.0,0.0,0.0
25.0,0.0,48,0,,0.0,0.0,0.0
25.0,0.0,72,0,,0.0,0.0,0.0
25.0,2.0,12,0,,0.0,0.0,0.0
25.0,2.0,24,0,,0.0,0.0,0.0
25.0,2.0,48,0,,0.0,0.0,0.0
25.0,2.0,72,0,,0.0,0.0,0.0
25.0,5.0,12,0,,0.0,0.0,0.0
25.0,5.0,24,0,,0.0,0.0,0.0
25.0,5.0,48,0,,0.0,0.0,0.0
25.0,5.0,72,0,,0.0,0.0,0.0
30.0,0.0,12,0,,0.0,0.0,0.0
30.0,0.0,24,0,,0.0,0.0,0.0
30.0,0.0,48,0,,0.0,0.0,0.0
30.0,0.0,72,0,,0.0,0.0,0.0
30.0,2.0,12,0,,0.0,0.0,0.0
30.0,2.0,24,0,,0.0,0.0,0.0
30.0,2.0,48,0,,0.0,0.0,0.0
30.0,2.0,72,0,,0.0,0.0,0.0
30.0,5.0,12,0,,0.0,0.0,0.0
30.0,5.0,24,0,,0.0,0.0,0.0
30.0,5.0,48,0,,0.0,0.0,0.0
30.0,5.0,72,0,,0.0,0.0,0.0
40.0,0.0,12,0,,0.0,0.0,0.0
40.0,0.0,24,0,,0.0,0.0,0.0
40.0,0.0,48,0,,0.0,0.0,0.0
40.0,0.0,72,0,,0.0,0.0,0.0
40.0,2.0,12,0,,0.0,0.0,0.0
40.0,2.0,24,0,,0.0,0.0,0.0
40.0,2.0,48,0,,0.0,0.0,0.0
40.0,2.0,72,0,,0.0,0.0,0.0
40.0,5.0,12,0,,0.0,0.0,0.0
40.0,5.0,24,0,,0.0,0.0,0.0
40.0,5.0,48,0,,0.0,0.0,0.0
40.0,5.0,72,0,,0.0,0.0,0.0
